Project Number,Project Name,Phase,Recipient,Type of Organization (Account) (Account),Geographic Distribution,Location of project,Program Pillar,Agreement Start Date,Agreement End Date,Description Short,List of Partners or Collaborators,Species Group
BCSRIF_2020_200,Shellfish Aquaculture Strategic Renewal Program,1,British Columbia Shellfish Grower's Association,Industry Association,BC Wide and Coastal Waters,BC Coast,Innovation,7/1/2021,3/31/2024,The BC Shellfish Growers Association will create the Shellfish Aquaculture Strategic Renewal Program which aims to ensure the industry remains a key socio-economic contributor to BCs coastal communities. Key components will include improved traceability of shellfish products; application of innovative handling and processing technology in the BC shellfish industry and traceability education and awareness for the shellfish industry growers.,"Farmer contributions Innovative Shellfish Handling (refer to activity 2 handout)
Farmer contributions Traceability Acquisition (refer to TA appendix I)
Farmer contributions Gear Identification

D.Ritchie Holdings Ltd 
Fan Seafoods Ltd 
Island Sea Farms Inc 
Nova Harvest Ltd 
Seabird Scallops Ltd 
Stellar Bay Shellfish Ltd 
Northwest Aquaculture Ltd 
Sawmill Bay Shellfish Company Ltd 
Fanny Bay Oysters 
Bold Point Shellfish Company  
Lucky2’s Oyster Company Ltd 
Effingham Oysters Inc 
Below Sea Level Oyster Co. 
Jack Greig 
Maplestar Shellfish 
Ondine Oceanfarms 
Odyssey Shellfish Ltd 
Bold Point Shellfish Company 
Little Wing Oysters 
Lorindale Holdings Ltd 
Canadian Seafood Processing Inc 
Mariculture LP 
Pincoya Seaworks 
Aphrodite's Garden Oyster Co Ltd 
Lighthouse Shellfish Ltd 
Strategic Shellfish Ltd 
Paradise Oysters Shellfish Ltd 
Wild Kraken Enterprise 
Block 421 Shellfish Ltd 
Travis Hesketh and Cory Hesketh 
Maplestar Seafood Ltd. 
C and C Shellfish Company Ltd. 
Siesta Seafoods 
Decourcey island oysters 
Odyssey shellfish 
Vancouver Island University 
Rising Tide Shellfish Inc. 
Tla'amin Nation 
Robert Langley and Nina Whisteside 
Russell and Claude Patenaude 
Okeover Organic Oysters 
Aphrodite's Garden Oysters 
Company 
Judy Hicks 
Little Wing Oysters Ltd 
Strangers Bay Oysters 
Teakerne Arm Shellfish Company 
Seabird Scallops 
Dave Ritchie Holdings Ltd 
Emerald Seafarms 
IEC 
AK Green Inc 
Theodosia Seafoods Inc 
Equinox Oysters 
Bucks Oysters 
Lagoon Island Mariculture 
Biline Aquaculture 
Shayne Sadler 
Mac's Oysters 
Nova Harvest 
Canadian Benthic 
Coode Island 
Miss Sunshine 
Klahoose Shellfish Ltd. 
Below Sea Level 
Bee Islets 
Gorgeous Oysters  
Cooper's Cove Ventures Ltd 
T'Sou-ke Nation 
Jilane Kariatsumari 
Shoreline Seafoods 
Lighthouse Shellfish 
Imperial Aquaculture 
Market Street Oysters Ltd 
Super Shell Enterprises Ltd 
Big Rock Oysters 
Wet Coast Ventures 
Effingham Shellfish Producers 
Tyler Fraser Biscoe 
Granscal Sea Farms 
Island Scallops 
Tiicma Fisheries 
Erik Deng 
Evening Cove Shellfish 
Skaiakos Point Oysters Inc 
Baynes Sound Oysters 
Nootka Sound Shellfish 
Effingham Oysters 
Morgan Bay Oysters and Clams 
Tree Island Shellfish Ltd 
Halong Oysters 
Manatee Shellfish 
Argosy Sea Farms Ltd. 
Pentlatch Seafoods Ltd. 
Raincoast Sea Farms Ltd 
Island Shellfish  
Fan Seafoods 
Sea Spray Aquaculture Ltd 
Nanoose Bay Oyster Grower 
UHA Research Society 
Yves Page 
Timothy Oysters 
Cedar Aquaculture Research and Development 
Tony Bishop 
Sinh Phuong and Dao Phuong 
Han Pacific Shellfish Ltd 
Desolation Sound Shellfish 
Summit Oysters 
Ka'awat’si Shellfish 
Renee Andor 
Paradise Oysters 
Sailor Seafood 
167432 BC Ltd 
Lucky 8's Oyster Co. Ltd 
Comox Shellfish Ltd. 
Metlakatla 
Harmony Seafoods 
Siren's Call Shellfish 
Dia Technologies 
Tien Xuan Phuong and Kim Thi Pham 
Eagle Rock Oysters Ltd 
Huan Dan Investor 
Anthony Richards 
Blue Seafoods Inc  
1433477 B.C. LTD. ",Pacific Shellfish
BCSRIF_2020_201,Evaluation of coastal kelp farms as novel habitat for migrating salmonids and their prey,1,Cascadia Seaweed Corp,Commercial Enterprise,BC Wide and Coastal Waters,Sidney,Infrastructure,4/1/2021,3/31/2024,Cascadia Seaweed Corp. and partners will research how coastal kelp farms can provide habitat for migrating Pacific salmonids and their food sources by integrating traditional and cutting-edge monitoring technologies.,"Deep Trekker Inc.
Bamfield Marine Sciences Centre
AML Oceanographic
Ocean Networks Canada
Mitacs
",Kelp
BCSRIF_2020_208,Kingfisher Intake Restoration,1,Kingfisher Interpretive Centre Society,Stewardship Group (local/community-based),Fraser and Interior,Enderby,Infrastructure,5/20/2021,3/31/2024,The Kingfisher Interpretive Centre will undertake repairs to the water intake system for its hatchery which suffered major damage in Cooke Creek in 2014. As a result of the damage KICS has been forced to release unfed chinook fry resulting in higher mortalities. Feeding the fry will increase the survival rate and allow KICS to offer more visitors firsthand experience with these fish.,"Kingfisher Interpretive Centre Society
Fisheries and Oceans Canada Community Involvement Program",Pacific Salmon
BCSRIF_2020_209,Chapman Creek Hatchery water supply and capacity upgrades,1,Sunshine Coast Salmonid Enhancement Society,Stewardship Group (local/community-based),South Coast,Sechelt,Infrastructure,7/26/2021,3/31/2022,The Sunshine Coast Salmonid Enhancement Society will work to identify an alternative water source for the Chapman Creek Hatchery to address extremely low flows in Chapman Creek during the summer months. Two test wells will serve as production and emergency wells to support rearing of coho salmon at the hatchery.,,Pacific Salmon
BCSRIF_2020_210,Seymour Hatchery Infrastructure Renewal,1,Seymour Salmonid Society,Stewardship Group (local/community-based),South Coast,North Vancouver,Infrastructure,7/1/2021,3/31/2024,The Seymour Salmonid Society will undertake maintenance and facility upgrades including a new feed storage container sewage storage tank perimeter fencing and outdoor pond roof structure to ensure the Seymour hatchery and education center can continue to support the restoration and conservation of the salmonid populations in the Seymour watershed.,,Pacific Salmon
BCSRIF_2020_212,Modernizing catch reporting in Canada's Pacific Region Salmon Fisheries,1,Archipelago Marine Research Ltd,Industry Association,South Coast,"Coastal BC, Victoria, BC",Innovation,1/1/2022,3/31/2024,The project will result in the development of a user-friendly mobile application for fishermen to record their fishing logbook data and submit daily catch reports and hails. This new tool will improve the timeliness and accuracy of the data that is produced to support in season management of the salmon fishery.,,Pacific Salmon
BCSRIF_2020_214,A-Tlegay Kelp Production and Restoration,1,A-Tlegay Fisheries Society,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,A-Tlegay Traditional Territory ( Johnstone Straight and Northern Straight of Georgia ),Infrastructure,4/1/2021,3/31/2024,The project involves the construction of four kelp sites located within Johnstone Strait/Northern Strait of Georgia to improve the quality of important marine habitat for salmon and to determine the commercial potential for kelp culture in the region.,,Kelp
BCSRIF_2020_215,Mitigating impacts of the European Green Crab invasion on Haida Gwaii,1,Secretariat of the Haida Nation,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Haida Gwaii,Science partnerships,4/1/2021,3/31/2024,This project aims to mitigate impacts of the European Green Crab (EGC) invasion to support the preservation of salmon habitat critical to Haida marine cultural and ecological systems in Haida Gwaii. Project partners will map the current geographic extent of the EGC invasion identify habitat most likely invaded and develop a community engagement and training program to increase capacity to respond to the threats posed by EGC.,,Aquatic invasive species
BCSRIF_2020_216,Chemainus/Koksilah Twinned Watershed Sustainability Project,1,Cowichan Tribes,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Duncan,Science partnerships,1/25/2021,3/31/2024,BCSRIF funding will support and leverage the development of a salmon-relevant Water Sustainability Plan in the Chemainus and Koksilah Watershed which will provide a critical link between First Nations rights and title federally managed anadromous salmon stocks and provincially managed land use. The Plan will also provide a roadmap for other regions of the Province where similar work is needed.,,Pacific Salmon
BCSRIF_2020_217,Developing a cumulative effects modelling framework for the recovery of aquatic salmonid populations,1,"University of British Columbia (Vancouver), Institute for the Oceans and Fisheries",Post-Secondary Institution,Fraser and Interior,Vancouver,Science partnerships,7/1/2021,3/31/2024,University of BC researchers and partners will develop a framework for modeling cumulative impacts on salmonid populations to guide recovery planning and adaptive management based on stressor-response functions related to multiple threats.,Nooaitch Band; Alberta Environment and Parks; Fisheries and Oceans Canada (Freshwater Institute); BC Ministry of Environment; Simon Fraser University; M.J. Bayly Analytics; and ESSA Environmental,Pacific Salmon
BCSRIF_2020_218,UAV Habitat Mapping to Inform wild Salmon Stewardship,1,First Nations Fisheries Legacy Fund Society,"Indigenous Organization (non-commercial, including First Nations governments)",BC Wide and Coastal Waters,"Lower Fraser River, Skeena River, Okanagan",Innovation,7/1/2021,3/31/2024,"The proponent aims to enhance capacity for monitoring and managing wild salmon habitat in First Nations by integrating community mapping with geospatial technologies. The project will inventory baseline data, local fish habitat knowledge and geospatial technologies available to each First Nation for undertaking long-term salmon habitat monitoring. The results of this work will inform long-term water and salmon stewardship planning processes and provide valuable information on watershed dynamics and trends critical to wild salmon populations.","University of Victoria - $175,750",Pacific Salmon
BCSRIF_2020_219,Skeena Estuary Habitat Management and Protection Planning,1,North Coast-Skeena First Nations Stewardship Society,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,"Areas within the Skeena River Estuary, North Coast of British Columbia",Innovation,1/23/2021,3/31/2024,The goal of this project is to inform and engage in the collaborative development of an effective monitoring assessment and management plan for the Skeena Estuary to ensure the protection and restoration of key fish habitats with a focus on salmon to ensure a sustained First Nations fishery. This project will use a phased multi-year approach to develop a Skeena Estuary Habitat Management and Protection Plan and to implement prioritized estuarine habitat restoration projects.,"Marine Plan Partnership (MaPP), Environmental Stewardship Initiative (ESI) and Nations: Gitga'at, Gitxaala, Kitselas, Kitsumkalum, Haisla, Metlakatla",Pacific Salmon
BCSRIF_2020_220,Ecosystem Management of kelp forest,1,North Pacific Kelp Wild Foods Inc.,Commercial Enterprise,Central Coast and the North,Haida Gwaii,Science partnerships,8/1/2021,3/31/2024,North Pacific Kelp Wild Foods Inc. will explore monitoring and sustainable harvesting methods of wild M. integrifolia (giant kelp) on Graham Island Haida Gwaii. The project will improve the understanding of the important role that kelp plays in food webs available for Pacific salmon and herring.,,Kelp
BCSRIF_2020_221,South Coast European Green Crab Control,1,Coastal Restoration Society,Not-for-profit organization (ENGO),South Coast,Tofino,Science partnerships,7/1/2021,3/31/2024,The recipient will trap control and monitor European green crab (EGC) in an attempt to mitigate and remediate the damage they pose to shared environmental economic and cultural resources within the Pacific Region.,"DFO AIS, DFO Science, Memorial University, Washington Sea Grant",Aquatic invasive species
BCSRIF_2020_223,Supporting West Coast Oyster Industry Development Through Expansion of Nursery Seed Supply,1,Nova Harvest Ltd,Commercial Enterprise,South Coast,"Bamfield, Vancouver Island",Infrastructure,6/1/2021,2/28/2022,This project aims to increase capacity for large high quality seed through the development of an ocean based oyster nursery known as a Floating Upwelling System (FLUPSY). This project aims to reduce risk to Canadian oyster farmers improve sustainable local shellfish production increase industry and job opportunities in remote coastal communities and enhance local food security by reducing reliance on imported seed stock.,,Pacific Shellfish
BCSRIF_2020_224,Selective Fishing Using a Salmon Trap,1,Tsawwassen First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Tsawwassen,Infrastructure,6/1/2021,3/31/2024,The recipient will design and operate a tidal waters salmon trap close to its traditional fishing sites (near the mouth of the Fraser River). The project objectives include identifying and assessing a suitable trap site then building operating and maintaining the trap and monitoring fish health.,,Pacific Salmon
BCSRIF_2020_225,Highway 16 corridor fish stranding,1,Kitsumkalum Indian Band,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Terrace,Infrastructure,4/15/2021,3/31/2024,The goal of this project is to identify and prioritize sites within the Skeena watershed and to develop solutions to maximize survival of local Pacific salmon populations. Potential solutions include introducing fish passage to high quality rearing habitat and infilling of unsuitable areas in order to prevent juveniles salmonids from entering areas where they become trapped.,"DFO – IHPP, DFO – SEP RRU, BC Hydro, CN Rail, Province of BC (MOTI, FLNRO)
",Pacific Salmon
BCSRIF_2020_226,Babine Lake Creel Survey,1,Lake Babine Nation Fisheries,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,"Houston, BC",Science partnerships,7/15/2021,3/31/2024,The Lake Babine First Nation will conduct creel surveys over three years collecting information on the total number of sockeye harvested by sport fishermen. The creel surveys will provide valuable data on the catch and effort of the recreational Sockeye fishery in the area supporting in-season fisheries management decisions.,,Pacific Salmon
BCSRIF_2020_232,Development and establishment of Vancouver Island Chinook Committee,1,Island Marine Aquatic Working Group,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Fraser Canyon ( Soda Creek to Yale) BC,Innovation,4/15/2021,3/31/2024,Funding will support the establishment of a Vancouver Island Salmon Committee and supporting Technical Working Group. This collaborative initiative will bring together local expertise traditional Indigenous knowledge and local knowledge specific to Vancouver Island and mainland inlet chinook populations to support efforts to rebuild Southern BC chinook and to inform broader efforts to conserve and restore all salmon species of Vancouver Island and mainland inlets.,,Pacific Salmon
BCSRIF_2020_233,"Landslide impact on the flow dynamics, fish migration and genetics of Fraser River Salmon",1,"Simon Fraser University, School of Environmental Science",Post-Secondary Institution,Fraser and Interior,Fraser Canyon – Yale to Soda Creek,Science partnerships,4/1/2021,3/31/2024,Simon Fraser University will work with partners to investigate the risks posed by natural earth surface processes such as landslides and hydraulic barriers on Fraser River salmon. The project will use innovative technologies to measure and monitor earth surface processes and frontline techniques in molecular genomics. The work will result in a better understanding of the infrastructure needed to enable successful fish migration across hydraulic barriers such as the Big Bar Landslide.,"Hakai Institute (Tula Foundation)
Fisheries and Oceans Canada Environmental Watch Program
Fisheries and Oceans Canada Big Bar Slide Monitoring Program
Simon Fraser University Institutional Strategic Awards Office
Simon Fraser University River Dynamics Lab",Pacific Salmon
BCSRIF_2020_238,"Assessment of sampling methodologies, March 2022 Gulf of Alaska",1,Pacific Salmon Foundation,Not-for-profit organization (ENGO),BC Wide and Coastal Waters,Gulf of Alaska,Science partnerships,7/1/2021,3/31/2023,,,Pacific Salmon
BCSRIF_2020_239,Causes and consequences of vateritic otoliths in hatchery-reared Coho salmon,1,"University of Victoria, Department of Biology",Post-Secondary Institution,South Coast,Victoria,Science partnerships,4/1/2021,3/31/2024,The goal of this project is to determine the causes of vateritic otolith development (ear bones that have crystalized resulting in hearing loss) in hatchery-reared Strait of Georgia coho salmon to investigate the consequences for survival and in turn population recovery.,,Pacific Salmon
BCSRIF_2020_241,Climate Action Priorities for Salmon,1,Pacific Salmon Foundation,Not-for-profit organization (ENGO),Fraser and Interior,,Innovation,4/1/2021,3/31/2024,This project will create a Climate Action Plan for BC salmon through three initial project components: developing improved genetic baselines to understand genetic differences at a scale finer than Conservation Units; developing a ‘Playbook  to guide landscape recovery strategies and priorities for salmon following major fires; and assessing Fraser River migration impediments.,,Pacific Salmon
BCSRIF_2020_242,Clayoquot Wild Chinook Salmon Initiative,1,Redd Fish Restoration Society,Not-for-profit organization (ENGO),South Coast,"Central Coast Sub-region, BC",Infrastructure,4/1/2021,3/31/2024,"This project aims to restore critical spawning and rearing habitat in Clayoquot Sound for high-conservation concern wild chinook salmon. Engaging biologists and engineers from British Columbia, Oregon and Washington this project will utilize innovative ecological engineering technologies to restore fish habitat and revitalize drastically declining stocks.",,Pacific Salmon
BCSRIF_2020_247,First Nations-led Freshwater Salmon Habitat Assessment & Restoration Planning in the Central Coast,1,Central Coast Indigenous Resource Alliance Society,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Bella Coola,Innovation,4/1/2021,3/31/2024,CCIRA will develop watershed-scale habitat assessments in the Central Coast sub-region of BC in alignment with the Watershed-based Fish Sustainability Plan. Habitat restoration plans will be developed and implemented for high-priority watersheds to improve hydrological stability and increase resilience to climate change followed by post-restoration monitoring to evaluate the effectiveness of restoration efforts and to improve future restoration planning.,,Pacific Salmon
BCSRIF_2020_251,Kleanza Creek Salmon Habitat Enhancement and Restoration Project,1,Kitselas First Nation,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Terrace,Infrastructure,6/10/2021,3/31/2024,Kitselas First Nation and partners will develop a prioritized enhancement and restoration plan for Kleanza Creek with the ultimate goal of restoring structural and functional connectivity of salmon habitat that has been destroyed.,"Ecofish Research Ltd.
Fisheries and Oceans Canada Resource Restoration Unit ",Pacific Salmon
BCSRIF_2020_253,"Applying Innovation and Collaboration to Improve Productivity, Economic Stability and Environmental Performance of Oyster Culture",1,Mariculture Limited Partnership,Commercial Enterprise,South Coast,Barkley Sound MU 23-4,Infrastructure,6/1/2021,3/31/2024,"This initiative aims to develop new and underutilized aquaculture tenures in the Barkley Sound by modernizing traditional shellfish farming practices through innovation and use of the latest technology. This project will focus on three activities: design and production of an innovative new oyster tray to reduce handling, enhance product quality and increase oyster survival, increased automation and streamlining of processes; and the adoption of solar power technology to reduce reliance on fossil fuels and increase environmental performance.",,Pacific Shellfish
BCSRIF_2020_254,Aquaculture Opportunities & Sustainability Survey,1,Gwabalis Fisheries Society,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Clayoquot Sound,Innovation,6/15/2021,3/31/2022,The Gwabalis Fisheries Society will undertake an area-wide aquaculture survey to identify assess and report on sustainable aquaculture opportunities within the respective traditional territories of its members: Quatsino Da naxda xw Mamalilikulla and Tlatlasikwala First Nations.,,Pacific Shellfish
BCSRIF_2020_256,Exploring Spatial Management Opportunities for Rockfish using Indigenous Knowledge and Subtidal Surveys,1,Ha'oom Fisheries Society,"Indigenous Organization (non-commercial, including First Nations governments)",South Coast,Coast wide,Science partnerships,4/1/2021,3/31/2024,Ha'oom Fisheries Society will survey and record the presence and absence of three rockfish species at risk (Canary Quillback and Yelloweye Rockfish) and other nearshore rockfish species within a court defined area (CDA). The results of this study will provide the basis of recommended spatial measures to prevent local rockfish depletions in the CDA and inform the DFO Rockfish Conservation Area renewal process.,,Pacific Groundfish
BCSRIF_2020_259,Understanding FRIM in the BC Public Fishery,1,Sport Fishing Institute of BC,Industry Association,BC Wide and Coastal Waters,Coast wide,Innovation,4/1/2022,3/31/2024,The recipient will establish a program to raise awareness and an understanding and appreciation of the importance of selective fisheries and minimizing Fishing-Related Incidental Mortality amongst local salmon anglers. The SFI will collaborate with the University of British Columbia's Pacific Salmon Ecology and Conservation Laboratory to create a science-based set of Best Salmon Fishing Practices to encourage anglers to adopt tools and best practices.,,Pacific Salmon
BCSRIF_2020_260,"Modernizing Recreational Catch Monitoring, Data Collection and Communication",1,Sport Fishing Institute of BC,Industry Association,BC Wide and Coastal Waters,Coast wide,Innovation,4/1/2021,3/31/2022,BCSRIF funding will support further improvements to the Fishing BC app to enhance and modernize catch log expansion and improve the quality of data collection as well as public education and outreach to promote awareness of the app and the importance of collecting accurate recreational fishery data.,,Pacific Salmon
BCSRIF_2020_261,Recreational Release Mortality Studies and Fishing Related Incidental Mortality (FRIM),1,Sport Fishing Institute of BC,Industry Association,BC Wide and Coastal Waters,Fraser,Science partnerships,1/1/2022,3/31/2024,This project aims to improve understanding of the impact and root causes of Fishing Related Incidental Mortality (FRIM) for salmon in BCs recreational fishery and to inform management measures that account for and mitigate the impacts of recreational fishing on non-target stocks. A best practices guidebook and outreach program will provide anglers with key information on how to minimize FRIM through appropriate gear and fishing techniques.,,Pacific Salmon
BCSRIF_2020_262,Fraser Salmon Management Program,1,Fraser Salmon Management Council (FSMC),"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Fraser River Estuary,Science partnerships,1/1/2022,3/31/2024,BCSRIF funding will bring together Indigenous biologists technical staff and experts from other agencies to share findings and make recommendations that will support the protection and restoration of Fraser Chinook and other salmon stocks. Project activities will enable Indigenous leaders to make informed decision about salmon fisheries conservation protection and enhancement the development of annual Indigenous fisheries plans and a suite of adaptive tools and techniques for modeling outcomes and providing options for decisions makers.,,Pacific Salmon
BCSRIF_2020_268,Fraser River Estuary Salmon Habitat (FRESH) Restoration Projects,1,Ducks Unlimited Canada,Not-for-profit organization (ENGO),Fraser and Interior,Harrison River and adjacent Lower Fraser River,Infrastructure,4/1/2021,3/31/2024,Ducks Unlimited Canada (DUC) will work with partners to implement three large-scale projects to restore key Fraser River estuary tidal marsh habitat and access to these critical habitats for the benefit of COSEWIC-listed Fraser River chinook coho steelhead and sockeye salmon populations as well as other juvenile salmon populations. These efforts aim to reverse the effects of human-caused impacts to the Fraser River estuary which combined with the anticipated future effects of sea-level rise severely impair ecological resilience and wild BC salmon survival.,,Pacific Salmon
BCSRIF_2020_269,Conservation Fishing - A First Nations Demonstration Selective Fishing in the Lower Fraser River,1,Harrison Salmon Producers LLP,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Coast wide,Infrastructure,4/1/2021,3/31/2024,The recipient will develop and deploy selective fishing alternatives to gill nets for times when fishing opportunities for non-selective gear are most restrictive. Stock assessment collaborations are expected to grow over the life of the project along with the increased tagging recovery and sampling capacities in the lower Fraser and ultimately support the modernization and sustainability of Fraser River salmon fisheries.,,Pacific Salmon
BCSRIF_2020_270,SFAB Vision - Phased Implementation,1,Sport Fishing Institute of BC,Industry Association,BC Wide and Coastal Waters,"Salmon River, Columbia-Shuswap Regional District",Innovation,9/1/2021,3/31/2024,This project builds on previous work to further the implementation of the Sport Fishing Advisory Board (SFAB) Vision for the recreational fishing sector in BC. This phase of the project will focus on modernizing the SFAB model to ensure that the interests of the recreational fishery are represented to regulators and decision-makers.,,Pacific Salmon
BCSRIF_2020_273,Salmon River Collaborative Salmonid Habitat Enhancement and Restoration Initiative,1,Yucwmenlucwu (Caretakers of the Land) Splatsin Development Corporation,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Lower Fraser Valley,Science partnerships,4/1/2021,3/31/2024,Funding will support a holistic approach to managing and restoring ecological flows in the Salmon River watershed through the application of Indigenous Knowledge and science-based data resulting in a healthier watershed and an increase in local salmonid populations.,,Pacific Salmon
BCSRIF_2020_276,MakeWay - Resilient Waters Lower Fraser Valley Rehabilitation,1,MakeWay Charitable Society,Not-for-profit organization (ENGO),Fraser and Interior,,Infrastructure,9/1/2021,3/31/2024,"Building on earlier work funded by BCSRIF, Phase 2 of Make Way's Resilient Waters initiative will restore connections to wild salmon habitat which has historically been alienated by flood control infrastructure installed adjacent to the Lower Fraser River between Richmond and Hope. Working with cross-sector partnerships this project aims to implement fish-friendly flood control solutions and advance research and best practices for fish-friendly flood practices.",,Pacific Salmon
BCSRIF_2020_278,Wuikinuxv Assessment and Restoration of Rivers Inlet Salmon,1,Wuikinuxv Nation,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Rivers Inlet,Science partnerships,6/1/2021,3/31/2024,This project aims to build the fisheries expertise and operational capacity within the Wuikinuxv Nation Stewardship office. This will be achieved through three key activities: assessing the productivity of Owikeno Lake and its carrying capacity for juvenile Sockeye Salmon acquiring the sonar equipment needed to count adult salmon returns to the Waanukv River and building capacity related to procedures and the operation of equipment needed to support local salmon projects.,"Pacific Salmon Commission 
Pacific Salmon Foundation
Skeena Fisheries Commission",Pacific Salmon
BCSRIF_2020_279,Supporting the Ongoing Use and Development of the Pacific Salmon Explorer,1,Pacific Salmon Foundation,Not-for-profit organization (ENGO),BC Wide and Coastal Waters,Fraser River,Science partnerships,4/1/2021,3/31/2024,BCSRIF funding will support the expansion improvement and application of an interactive data visualization tool for tracking and reporting information on the status of Pacific salmon Conservation Units (CUs) and their freshwater habitats in British Columbia. CUs are groupings of salmon at the stock level sharing common genetic traits geographic distribution and life-history that is defined for the purposes of identifying challenges to survival and potential conservation strategies. The project will result in more timely credible and standardized information on the status of salmon and their habitats and is critical to informing science-based decisions for salmon conservation and management.,,Pacific Salmon
BCSRIF_2020_282,Selective Fishing Gear Pilot in the Fraser River,1,Lower Fraser Fisheries Alliance Society,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Pacific Coast,Infrastructure,4/1/2021,3/31/2024,"Katzie, Kwantlen, Sumas and Chilliwack First Nations will develop test and operate selective fishing gear and techniques to demonstrate their effectiveness in supporting the modernization of Fraser River salmon fisheries in the face of climate change and declining salmon populations. This pilot project applies traditional First Nations methods in modern ways with the goal of improving First Nations' access to their constitutionally-protected food social and ceremonial (FSC) salmon fisheries.",,Pacific Salmon
BCSRIF_2020_284,Technology for more sustainable fisheries in BC,1,T. Buck Suzuki Environmental Foundation,Not-for-profit organization (ENGO),BC Wide and Coastal Waters,"Central Coast Sub-region, BC",Infrastructure,8/1/2021,3/31/2024,This project aims to enhance the sustainability of BCs fisheries using the use of innovative technologies. The project will test the effectiveness of LED light usage in shrimp trawl fishery and use of knotless nets in the salmon and herring seine test fishery to reduce bycatch increase survivability of bycatch species and prevent entanglements.,"BC Shrimp Trawl Association
Area B Seine Association
Commercial Fishing Caucus
",Pacific Salmon
BCSRIF_2020_292,First Nations-led catch monitoring to inform sustainable mixed-stock fisheries management on the Central Coast,1,Central Coast Indigenous Resource Alliance Society,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,Bella Coola,Innovation,1/27/2021,3/31/2024,This project will focus on designing and implementing a coordinated strategy to fill data gaps related to Central Coast salmon populations which will inform management measures to promote sustainable opportunities for marine and Food Social Ceremonial fisheries.,"Simon Fraser University, Wild Salmon Centre",Pacific Salmon
BCSRIF_2020_294,Collaborative Freshwater Research and Restoration Initiative in the Thompson Watershed,1,Secwepemc Fisheries Commission,"Indigenous Organization (non-commercial, including First Nations governments)",Fraser and Interior,Thompson River Watershed - Deadman River,Infrastructure,4/1/2021,3/31/2024,"This project aims to fill data gaps related to Fraser coho, Interior Fraser summer steelhead and Southern BC chinook populations which will be used to inform fisheries recovery and rebuilding plans. The assessment of habitat use stream flow and temperature data and other factors affecting survivability will help to inform effective recovery strategies for salmon in BC s southern interior.",,Pacific Salmon
BCSRIF_2020_298,Nanaimo Hatchery Upgrades to Improve Hatchery Performance and Assessment and Monitoring Capabilities,1,Nanaimo River Hatchery,Stewardship Group (local/community-based),South Coast,Nanaimo,Infrastructure,6/1/2021,3/31/2024,"The Nanaimo River Stewardship Society will upgrade the Nanaimo River Hatchery to address ageing infrastructure and allow the facility to adapt to changing enhancement objectives and watershed activities. Key elements include: rebuilding the aeration tower, replacing aged incubation trays and boxes, and optimizing the water supply to improve biosecurity and marking options. In addition upgrades to the stewardship building will allow the organization to maximize public and institutional education opportunities.","Pacific Salmon Foundation
Cabela's
Fisheries and Oceans Canada (StAD)
British Columbia Conservation Foundation
Mosaic Forest Management
Norse Log Homes",Pacific Salmon
BCSRIF_2020_300,Coastal First Nations Salmon Enhancement and Restoration Initiative,1,Great Bear Initiative Society,"Indigenous Organization (non-commercial, including First Nations governments)",Central Coast and the North,"Great Bear Rainforest (Haida Gwaii, North and Central Coast)",Infrastructure,4/1/2021,3/31/2024,Funding will enable the Great Bear initiative Society to undertake infrastructure upgrades at six community hatcheries to incorporate more sustainable technology and enable restoration of wild BC salmon populations of concern. Key elements include repair replacement or acquisition of additional incubation rearing spaces or equipment storage areas electrical upgrades and improvements to water supply.,,Pacific Salmon
BCSRIF_2020_301,Watershed Restoration Prioritization Tool/Solutions for Gold River Steelhead,1,Nootka Sound Watershed Society,Stewardship Group (local/community-based),South Coast,"Gold River area, Nootka Sound, West Coast Vancouver Island",Infrastructure,6/1/2021,3/31/2024,The recipient will use a spatial modelling tool and the resulting threats assessment to develop an action plan to improve and monitor habitat for steelhead and other Pacific salmon species. The recipient will identify prioritized sites to be restored and develop a comprehensive strategic plan of prioritized future restoration opportunities.,,Pacific Salmon
